Name,Team,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Def,NameASCII,PlayerId,MLBAMID
"Pete Crow-Armstrong","CHC","CF",1011.2,0,,,,1,-2,15,,14,,,,,,,,22,24,21.68968952138048,"Pete Crow-Armstrong",27769,691718
"Dillon Dingler","DET","C",725,6,0,1,,,4,,,10,,,,,,,9.109999656677246,,11,19.652906127734532,"Dillon Dingler",27464,693307
"Bobby Witt Jr.","KCR","SS",837.2,0,,,0,,2,5,,7,,,,,,,,19,15,18.384185193173835,"Bobby Witt Jr.",25764,677951
"JJ Wetherholt","STL","2B",942.1,0,,,3,,0,10,,13,,,,,,,,21,19,15.895940460112442,"JJ Wetherholt",34985,802139
"Dansby Swanson","CHC","SS",976.2,0,,,0,,1,4,,5,,,,,,,,15,10,15.318138056674819,"Dansby Swanson",18314,621020
"Andrés Giménez","TOR","SS",884,0,,,0,,1,3,,4,,,,,,,,15,11,14.767669532212746,"Andres Gimenez",19950,665926
"Brayan Rocchio","CLE","SS",919.2,0,,,-1,,-1,1,,-1,,,,,,,,12,9,13.60548306577932,"Brayan Rocchio",23690,677587
"Masyn Winn","STL","SS",938.1,0,,,4,,2,-3,,3,,,,,,,,10,11,11.709693064702119,"Masyn Winn",27479,691026
"Geraldo Perdomo","ARI","SS",1001,0,,,1,,-1,6,,6,,,,,,,,9,7,11.445607314233712,"Geraldo Perdomo",22799,672695
"Ceddanne Rafaela","BOS","CF",962.1,0,,,,6,-1,10,,15,,,,,,,,14,13,11.026808717878717,"Ceddanne Rafaela",24262,678882
"Otto Lopez","MIA","SS",975.2,0,,,2,,-1,6,,7,,,,,,,,8,8,10.859326454374525,"Otto Lopez",19608,672640
"Andy Pages","LAD","CF",992.2,0,,,,9,3,6,,18,,,,,,,,8,12,9.696285696004827,"Andy Pages",24816,681624
"Luis Arraez","- - -","2B",934.2,0,,,0,,0,-2,,-2,,,,,,,,11,9,8.654387542408545,"Luis Arraez",18568,650333
"Mookie Betts","LAD","SS",681.2,0,,,1,,-2,7,,6,,,,,,,,7,7,8.494296909030577,"Mookie Betts",13611,605141
"Jazz Chisholm Jr.","NYY","2B",910.1,0,,,-2,,-1,-4,,-7,,,,,,,,10,6,7.930981209393028,"Jazz Chisholm Jr.",20454,665862
"Elly De La Cruz","CIN","SS",826.1,0,,,0,,1,-7,,-6,,,,,,,,5,4,7.760906650906646,"Elly De La Cruz",26668,682829
"Brice Turang","MIL","2B",984.2,0,,,2,,1,13,,16,,,,,,,,10,10,7.746990100859099,"Brice Turang",22186,668930
"Jacob Young","WSN","CF",805.2,0,,,,-2,-2,3,,-1,,,,,,,,12,10,7.68229843963292,"Jacob Young",29931,696285
"Michael Harris II","ATL","CF",864,0,,,,0,-1,10,,9,,,,,,,,9,10,7.565163429101875,"Michael Harris II",25931,671739
"Xander Bogaerts","SDP","SS",954,0,,,0,,1,-4,,-3,,,,,,,,4,4,7.254639700579441,"Xander Bogaerts",12161,593428
"Austin Wells","NYY","C",654,2,4,-1,,,2,,,8,,,,,,,2.0399999618530273,,4,7.091828214235199,"Austin Wells",27562,669224
"Brandon Lowe","PIT","2B",888.2,0,,,1,,1,6,,8,,,,,,,,9,7,6.923038896231803,"Brandon Lowe",18882,664040
